review_body,review_title,asin,pp_date,review_rating,review_date,product_name,retailer,text_clean,title_clean,review,opinion,ml_score,text,ml_topic
"i am very happy with my caffeluxe coffee pods. value for money and rich and creamy coffee.
",,PLID54489195,10/12/2020,5,2020-12-04,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,am very happy with my caffeluxe coffee pods value for money and rich and creamy coffee,,"i am very happy with my caffeluxe coffee pods. value for money and rich and creamy coffee.
 ",[],1,am very happy with my caffeluxe coffee pods value for money and rich and creamy coffee ,['price']
"great , work perfect",,PLID54489195,10/12/2020,5,2020-11-24,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great work perfect,,"great , work perfect ",[],1,great work perfect ,[]
good value,,PLID54489195,10/12/2020,5,2020-11-18,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,good value,,good value ,['good value'],1,good value ,['price']
"perfect combo, works great with nespresso machines",,PLID54489195,10/12/2020,5,2020-11-17,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,perfect combo works great with nespresso machines,,"perfect combo, works great with nespresso machines ",[],1,perfect combo works great with nespresso machines ,[]
great quality coffee! always on my shopping list.,,PLID54489195,10/12/2020,5,2020-11-14,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great quality coffee always on my shopping list,,great quality coffee! always on my shopping list. ,['great quality coffee'],1,great quality coffee always on my shopping list ,[]
works perfectly with nespresso machine. relatively stronger than other pods made by 3rd parties. good flavours. decent value.,,PLID54489195,10/12/2020,5,2020-11-12,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,works perfectly with nespresso machine relatively stronger than other pods made by rd parties good flavours decent value,,works perfectly with nespresso machine. relatively stronger than other pods made by 3rd parties. good flavours. decent value. ,"['decent value', 'good flavour']",1,works perfectly with nespresso machine relatively stronger than other pods made by rd parties good flavours decent value ,"['price', 'taste']"
very nice product and nice to have a variety,,PLID54489195,10/12/2020,5,2020-11-07,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,very nice product and nice to have variety,,very nice product and nice to have a variety ,['very nice product'],1,very nice product and nice to have variety ,[]
"very good quality,  i'm happy",,PLID54489195,10/12/2020,4,2020-11-04,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,very good quality am happy,,"very good quality,  i'm happy ",['very good quality'],1,very good quality am happy ,[]
good choices.  all great coffee ,,PLID54489195,10/12/2020,5,2020-10-20,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,good choices all great coffee,,good choices.  all great coffee  ,"['good choice', 'great coffee']",1,good choices all great coffee ,[]
good selection & price.,,PLID54489195,10/12/2020,4,2020-10-13,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,good selection price,,good selection & price. ,[],1,good selection price ,['price']
great tasting coffee! and the price is well worth it.,,PLID54489195,10/12/2020,4,2020-10-08,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great tasting coffee and the price is we will worth it,,great tasting coffee! and the price is well worth it. ,['great tasting coffee'],1,great tasting coffee and the price is we will worth it ,"['price', 'taste']"
the product is enjoyable just one issue i am unhappy about is that i purchased 5 boxes of different coffee capsules and four of the boxes had the expiry date scratched out with a black marker so i cannot see the expiry date on the box. only the one box i could view the expiry date which is still fine but otherwise the product is enjoyable.,,PLID54489195,10/12/2020,4,2020-08-02,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,the product is enjoyable just one issue am unhappy about is that purchased boxes of different coffee capsules and four of the boxes had the expiry date scratched out with black marker so cannot see the expiry date on the box only the one box could view the expiry date which is still fine but otherwise the product is enjoyable,,the product is enjoyable just one issue i am unhappy about is that i purchased 5 boxes of different coffee capsules and four of the boxes had the expiry date scratched out with a black marker so i cannot see the expiry date on the box. only the one box i could view the expiry date which is still fine but otherwise the product is enjoyable. ,[],-1,the product is enjoyable just one issue am unhappy about is that purchased boxes of different coffee capsules and four of the boxes had the expiry date scratched out with black marker so cannot see the expiry date on the box only the one box could view the expiry date which is still fine but otherwise the product is enjoyable ,['packaging']
very good product.,,PLID54489195,10/12/2020,5,2020-08-02,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,very good product,,very good product. ,['very good product'],1,very good product ,[]
optimum price very efficient,,PLID54489195,10/12/2020,4,2020-07-30,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,optimum price very efficient,,optimum price very efficient ,[],1,optimum price very efficient ,['price']
excellent flavours of choice per box. better than a lot of known brands. i will certainly order more of caffeluxe. maintain your prices and you will certainly have me as a client,,PLID54489195,10/12/2020,5,2020-07-29,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,excellent flavours of choice per box better than lot of known brands will certainly order more of caffeluxe maintain your prices and you will certainly have me as client,,excellent flavours of choice per box. better than a lot of known brands. i will certainly order more of caffeluxe. maintain your prices and you will certainly have me as a client ,['excellent flavour'],1,excellent flavours of choice per box better than lot of known brands will certainly order more of caffeluxe maintain your prices and you will certainly have me as client ,"['delivery', 'packaging', 'price', 'taste']"
lekker coffee,,PLID54489195,10/12/2020,4,2020-07-27,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,lekker coffee,,lekker coffee ,[],-1,lekker coffee ,[]
great value for money.,,PLID54489195,10/12/2020,5,2020-07-27,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great value for money,,great value for money. ,['great value'],1,great value for money ,['price']
very nice coffee at a great price. very happy with my purchase,,PLID54489195,10/12/2020,5,2020-07-26,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,very nice coffee at great price very happy with my purchase,,very nice coffee at a great price. very happy with my purchase ,"['very nice coffee', 'great price']",1,very nice coffee at great price very happy with my purchase ,['price']
insane value and the coffee does not disappoint,,PLID54489195,10/12/2020,5,2020-06-09,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,insane value and the coffee does not disappoint,,insane value and the coffee does not disappoint ,['insane value'],1,insane value and the coffee does not disappoint ,['price']
well worth the price,,PLID54489195,10/12/2020,4,2020-05-25,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,we will worth the price,,well worth the price ,[],1,we will worth the price ,['price']
"good coffee, not a 100% fit but its about the nearest to perfect fit that you will find. coffee actually tastes good. does not always fall to the empty dispenser in my nespresso machine but push it down with a teaspoon and it falls throug with ease. this is by far the best alternative for nespresso machines",,PLID54489195,10/12/2020,4,2020-05-21,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,good coffee not fit but it is about the nearest to perfect fit that you will find coffee actually tastes good does not always fall to the empty dispenser in my nespresso machine but push it down with teaspoon and it falls throug with ease this is by far the best alternative for nespresso machines,,"good coffee, not a 100% fit but its about the nearest to perfect fit that you will find. coffee actually tastes good. does not always fall to the empty dispenser in my nespresso machine but push it down with a teaspoon and it falls throug with ease. this is by far the best alternative for nespresso machines ","['good coffee', 'good alternative']",1,good coffee not fit but it is about the nearest to perfect fit that you will find coffee actually tastes good does not always fall to the empty dispenser in my nespresso machine but push it down with teaspoon and it falls throug with ease this is by far the best alternative for nespresso machines ,"['allergens', 'taste']"
great coffee roast flavours for an excellent price! definitely buying it again.,,PLID54489195,10/12/2020,5,2020-05-16,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great coffee roast flavours for an excellent price definitely buying it again,,great coffee roast flavours for an excellent price! definitely buying it again. ,['excellent price'],1,great coffee roast flavours for an excellent price definitely buying it again ,"['price', 'taste']"
very happy with this purchase. tried a few different brands and this is by far the best! just ordered the box with 220 capsules at a great price so i don't run out. closest alternative to nespresso without the price tag. haven't had any issues with the pods. will definitely be ordering these on a monthly basis!,,PLID54489195,10/12/2020,5,2020-05-09,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,very happy with this purchase tried few different brands and this is by far the best just ordered the box with capsules at great price so do not run out closest alternative to nespresso without the price tag have not had any issues with the pods will definitely be ordering these on monthly basis,,very happy with this purchase. tried a few different brands and this is by far the best! just ordered the box with 220 capsules at a great price so i don't run out. closest alternative to nespresso without the price tag. haven't had any issues with the pods. will definitely be ordering these on a monthly basis! ,['great price'],1,very happy with this purchase tried few different brands and this is by far the best just ordered the box with capsules at great price so do not run out closest alternative to nespresso without the price tag have not had any issues with the pods will definitely be ordering these on monthly basis ,"['delivery', 'packaging', 'price']"
these are very good. much like nespresso. half the price... ,,PLID54489195,10/12/2020,5,2020-03-29,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,these are very good much like nespresso half the price,,these are very good. much like nespresso. half the price...  ,[],1,these are very good much like nespresso half the price ,['price']
"the coffee tastes delicious but the caps (pods) do not fall through properly and get stuck. easy to push them through but it does get frustrating 
",,PLID54489195,10/12/2020,4,2020-03-29,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,the coffee tastes delicious but the caps pods do not fall through properly and get stuck easy to push them through but it does get frustrating,,"the coffee tastes delicious but the caps (pods) do not fall through properly and get stuck. easy to push them through but it does get frustrating 
 ",[],1,the coffee tastes delicious but the caps pods do not fall through properly and get stuck easy to push them through but it does get frustrating ,['taste']
"brilliant purchase.  with a household of coffee fantastics, each had their own variety. true value for money. thank you.",,PLID54489195,10/12/2020,5,2020-03-11,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,brilliant purchase with household of coffee fantastics each had their own variety true value for money thank you,,"brilliant purchase.  with a household of coffee fantastics, each had their own variety. true value for money. thank you. ","['own variety', 'brilliant purchase']",1,brilliant purchase with household of coffee fantastics each had their own variety true value for money thank you ,"['price', 'taste']"
always good value for money.  ,,PLID58243680,10/12/2020,5,2020-12-03,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,always good value for money,,always good value for money.   ,['always good value'],1,always good value for money ,['price']
excellent value for a refreshing and tasty product,,PLID58243680,10/12/2020,4,2020-11-25,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,excellent value for refreshing and tasty product,,excellent value for a refreshing and tasty product ,['excellent value'],1,excellent value for refreshing and tasty product ,"['price', 'taste']"
great coffee at a great price. keep the special going and we will keep ordering. have told my friends and family about it and they are also ordering.,,PLID58243680,10/12/2020,5,2020-11-24,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great coffee at great price keep the special going and we will keep ordering have told my friends and family about it and they are also ordering,,great coffee at a great price. keep the special going and we will keep ordering. have told my friends and family about it and they are also ordering. ,"['great price', 'great coffee']",1,great coffee at great price keep the special going and we will keep ordering have told my friends and family about it and they are also ordering ,"['delivery', 'price']"
coffee flavors really good and at a good price,,PLID58243680,10/12/2020,4,2020-11-21,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,coffee flavors really good and at good price,,coffee flavors really good and at a good price ,['good price'],1,coffee flavors really good and at good price ,"['price', 'taste']"
