content,country,crawl_date,date,enseigneID,enseigneName,productName,product_id,product_rating_average,product_rating_count,rating
"I am very happy with my Caffeluxe coffee pods. Value for money and rich and creamy coffee.
",UK,10/12/2020,4 December 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
"Great , work perfect",UK,10/12/2020,24 November 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Good value,UK,10/12/2020,18 November 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
"Perfect combo, works great with Nespresso Machines",UK,10/12/2020,17 November 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Great quality coffee! Always on my shopping list.,UK,10/12/2020,14 November 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Works perfectly with Nespresso machine. Relatively stronger than other pods made by 3rd parties. Good flavours. Decent value.,UK,10/12/2020,12 November 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Very nice product and nice to have a variety,UK,10/12/2020,7 November 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
"Very good quality,  I'm happy",UK,10/12/2020,4 November 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Good choices.  All great coffee ,UK,10/12/2020,20 October 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Good selection & price.,UK,10/12/2020,13 October 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Great tasting coffee! And the price is well worth it.,UK,10/12/2020,8 October 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
The product is enjoyable just one issue I am unhappy about is that I purchased 5 boxes of different coffee capsules and four of the boxes had the expiry date scratched out with a black marker so I cannot see the expiry date on the box. Only the one box I could view the expiry date which is still fine but otherwise the product is enjoyable.,UK,10/12/2020,2 August 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Very good product.,UK,10/12/2020,2 August 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
optimum price very efficient,UK,10/12/2020,30 July 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Excellent flavours of choice per box. Better than a lot of known brands. I will certainly order more of Caffeluxe. Maintain your prices and you will certainly have me as a client,UK,10/12/2020,29 July 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Lekker Coffee,UK,10/12/2020,27 July 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Great value for money.,UK,10/12/2020,27 July 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Very nice coffee at a great price. Very happy with my purchase,UK,10/12/2020,26 July 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Insane value and the coffee does not disappoint,UK,10/12/2020,9 June 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Well worth the price,UK,10/12/2020,25 May 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
