review_body,review_title,asin,pp_date,review_rating,review_date,text_clean,title_clean,ml_score,text,ml_topic,review,opinion
"robust, tasty espresso",,PLID55963029,30 August 2020,4,2020-08-30,robust tasty espresso,,1,robust tasty espresso ,[],"robust, tasty espresso ",['robust tasty espresso']
still a bit mild for me,,PLID55963029,23 June 2020,3,2020-06-23,still bit mild for me,,1,still bit mild for me ,[],still a bit mild for me ,[]
very good quality coffee,,PLID55963029,23 June 2020,5,2020-06-23,very good quality coffee,,1,very good quality coffee ,[],very good quality coffee ,[]
"excellent coffee, strong bold taste and definitely recommended.",,PLID55963029,22 June 2020,5,2020-06-22,excellent coffee strong bold taste and definitely recommended,,1,excellent coffee strong bold taste and definitely recommended ,[],"excellent coffee, strong bold taste and definitely recommended. ",['strong bold taste']
"really disappointed that about 10% of the capules don't get pierced in my brand new nespresso, so i have to throw them away.",,PLID55963029,20 June 2020,2,2020-06-20,really disappointed that about of the capules don get pierced in my brand new nespresso so have to throw them away,,1,really disappointed that about of the capules don get pierced in my brand new nespresso so have to throw them away ,['packaging'],"really disappointed that about 10% of the capules don't get pierced in my brand new nespresso, so i have to throw them away. ",[]
"10 out of 10 , love it .",,PLID55963029,14 June 2020,4,2020-06-14,out of love it,,1,out of love it ,[],"10 out of 10 , love it . ",[]
love this coffee.,,PLID55963029,12 June 2020,5,2020-06-12,love this coffee,,1,love this coffee ,[],love this coffee. ,[]
a mist have. cant do without these,,PLID55963029,12 June 2020,5,2020-06-12,mist have cannot do without these,,1,mist have cannot do without these ,[],a mist have. cant do without these ,[]
great product,,PLID55963029,11 June 2020,5,2020-06-11,great product,,1,great product ,[],great product ,['great product']
delicious,,PLID55963029,10 June 2020,5,2020-06-10,delicious,,1,delicious ,[],delicious ,[]
really great tasting.,,PLID55963029,3 June 2020,5,2020-06-03,really great tasting,,1,really great tasting ,[],really great tasting. ,[]
loving it,,PLID55963029,27 May 2020,5,2020-05-27,loving it,,1,loving it ,[],loving it ,[]
have tried 3 different flavour and delighted with all of them. they work perfectly with my nespresso machine,,PLID55963029,18 May 2020,5,2020-05-18,have tried different flavour and delighted with all of them they work perfectly with my nespresso machine,,1,have tried different flavour and delighted with all of them they work perfectly with my nespresso machine ,['taste'],have tried 3 different flavour and delighted with all of them. they work perfectly with my nespresso machine ,[]
amazing coffee,,PLID55963029,16 May 2020,5,2020-05-16,amazing coffee,,1,amazing coffee ,[],amazing coffee ,['amazing coffee']
"excellent quality,tasty, helps get me through my sales calls",,PLID55963029,16 May 2020,5,2020-05-16,excellent quality tasty helps get me through my sales calls,,1,excellent quality tasty helps get me through my sales calls ,[],"excellent quality,tasty, helps get me through my sales calls ",[]
nice,,PLID55963029,11 May 2020,4,2020-05-11,nice,,1,nice ,[],nice ,[]
delicious!!! thank you !!,,PLID55963029,11 May 2020,5,2020-05-11,delicious thank you,,1,delicious thank you ,[],delicious!!! thank you !! ,[]
"nice coffee. strong, dark roasted and done by nespresso - what more do you want?",,PLID55963029,5 May 2020,4,2020-05-05,nice coffee strong dark roasted and done by nespresso what more do you want,,1,nice coffee strong dark roasted and done by nespresso what more do you want ,[],"nice coffee. strong, dark roasted and done by nespresso - what more do you want? ",['nice coffee']
best coffee ever,,PLID55963029,3 May 2020,5,2020-05-03,best coffee ever,,1,best coffee ever ,[],best coffee ever ,['good coffee']
"beautifully rich and gorgeous aroma, this is the real deal!",,PLID55963029,26 April 2020,5,2020-04-26,beautifully rich and gorgeous aroma this is the real deal,,1,beautifully rich and gorgeous aroma this is the real deal ,['taste'],"beautifully rich and gorgeous aroma, this is the real deal! ",[]
my favourite!,,PLID55963029,17 April 2020,5,2020-04-17,my favourite,,1,my favourite ,[],my favourite! ,[]
love love this coffee,,PLID55963029,5 April 2020,5,2020-04-05,love love this coffee,,1,love love this coffee ,[],love love this coffee ,[]
"soooo much better than standard nespresso coffees. these pods are the same metal material as nespresso pods, so they are soft and don't damage the machine like cheaper plastic ones. buy!",,PLID55963029,24 March 2020,5,2020-03-24,soooo much better than standard nespresso coffees these pods are the same metal material as nespresso pods so they are soft and don damage the machine like cheaper plastic ones buy,,1,soooo much better than standard nespresso coffees these pods are the same metal material as nespresso pods so they are soft and don damage the machine like cheaper plastic ones buy ,['taste'],"soooo much better than standard nespresso coffees. these pods are the same metal material as nespresso pods, so they are soft and don't damage the machine like cheaper plastic ones. buy! ",['cheap plastic one']
well worth it. great blend.,,PLID55963029,27 January 2020,5,2020-01-27,we will worth it great blend,,1,we will worth it great blend ,[],well worth it. great blend. ,['great blend']
great taste and works perfectly with my nespresso machine.,,PLID55963029,2 January 2020,5,2020-01-02,great taste and works perfectly with my nespresso machine,,1,great taste and works perfectly with my nespresso machine ,['taste'],great taste and works perfectly with my nespresso machine. ,['great taste']
yum :),,PLID55963029,19 November 2019,4,2019-11-19,yum,,1,yum ,[],yum :) ,[]
this is one of my fav flavours now. am most definitely buying more,,PLID55963029,10 November 2019,5,2019-11-10,this is one of my fav flavours now am most definitely buying more,,1,this is one of my fav flavours now am most definitely buying more ,[],this is one of my fav flavours now. am most definitely buying more ,[]
"works really well with the nespresso machine, i often find that some of the non-nespresso pods come out a little slow, but not these ones. taste is great, price is fair and they work like they're supposed to. happy. ",,PLID55963029,21 October 2019,5,2019-10-21,works really we will with the nespresso machine often find that some of the non nespresso pods come out little slow but not these ones taste is great price is fair and they work like they re supposed to happy,,1,works really we will with the nespresso machine often find that some of the non nespresso pods come out little slow but not these ones taste is great price is fair and they work like they re supposed to happy ,"['allergens', 'delivery', 'taste']","works really well with the nespresso machine, i often find that some of the non-nespresso pods come out a little slow, but not these ones. taste is great, price is fair and they work like they're supposed to. happy.  ",[]
great taste,,PLID44858548,27 November 2020,5,2020-11-27,great taste,,1,great taste ,[],great taste ,['great taste']
"the best coffee ever. strongf, smooth and aromatic.",,PLID44858548,12 November 2020,5,2020-11-12,the best coffee ever strongf smooth and aromatic,,1,the best coffee ever strongf smooth and aromatic ,[],"the best coffee ever. strongf, smooth and aromatic. ",['good coffee']
"great blend, quite strong",,PLID44858548,10 November 2020,5,2020-11-10,great blend quite strong,,1,great blend quite strong ,[],"great blend, quite strong ",['great blend']
a good strong coffee that is consiostent every time. most enjoyable and priced competively.,,PLID44858548,18 September 2020,4,2020-09-18,good strong coffee that is consiostent every time most enjoyable and priced competively,,1,good strong coffee that is consiostent every time most enjoyable and priced competively ,"['delivery', 'packaging']",a good strong coffee that is consiostent every time. most enjoyable and priced competively. ,['good strong coffee']
best coffee in a pod on the market,,PLID44858548,15 September 2020,5,2020-09-15,best coffee in pod on the market,,1,best coffee in pod on the market ,[],best coffee in a pod on the market ,['good coffee']
a good strong blend just as i like it. also i can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules,,PLID44858548,2 August 2020,5,2020-08-02,good strong blend just as like it also can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules,,1,good strong blend just as like it also can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules ,"['delivery', 'taste']",a good strong blend just as i like it. also i can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules ,"['additional lack', 'good strong blend']"
best price great coffee,,PLID44858548,27 July 2020,5,2020-07-27,best price great coffee,,1,best price great coffee ,[],best price great coffee ,['good price great coffee']
rich and creamy. excellent taste,,PLID44858548,1 July 2020,5,2020-07-01,rich and creamy excellent taste,,1,rich and creamy excellent taste ,[],rich and creamy. excellent taste ,['excellent taste']
the furioso is the best of the range if you enjoy a strong robust cup of coffee. ,,PLID44858548,27 June 2020,5,2020-06-27,the furioso is the best of the range if you enjoy strong robust cup of coffee,,1,the furioso is the best of the range if you enjoy strong robust cup of coffee ,['packaging'],the furioso is the best of the range if you enjoy a strong robust cup of coffee.  ,['strong robust cup']
"thought it will fit into a nespresso machine, but did not. i have not tried it since i have no use for it.",,PLID44858548,3 June 2020,2,2020-06-03,thought it will fit into nespresso machine but did not have not tried it since have no use for it,,1,thought it will fit into nespresso machine but did not have not tried it since have no use for it ,['taste'],"thought it will fit into a nespresso machine, but did not. i have not tried it since i have no use for it. ",[]
the best coffee ever,,PLID44858548,12 May 2020,5,2020-05-12,the best coffee ever,,1,the best coffee ever ,[],the best coffee ever ,['good coffee']
perfect,,PLID44858548,6 May 2020,5,2020-05-06,perfect,,1,perfect ,[],perfect ,[]
awesome love this product,,PLID44858548,15 April 2020,5,2020-04-15,awesome love this product,,1,awesome love this product ,[],awesome love this product ,['awesome love']
90%,,PLID44858548,14 April 2020,4,2020-04-14,,,1, ,[],90% ,[]
smooth great tasting coffee.,,PLID44858548,7 April 2020,4,2020-04-07,smooth great tasting coffee,,1,smooth great tasting coffee ,[],smooth great tasting coffee. ,[]
great coffee,,PLID44858548,23 February 2020,5,2020-02-23,great coffee,,1,great coffee ,[],great coffee ,['great coffee']
great!,,PLID44858548,15 February 2020,5,2020-02-15,great,,1,great ,[],great! ,[]
excellent ,,PLID44858548,8 February 2020,5,2020-02-08,excellent,,1,excellent ,[],excellent  ,[]
always good value for money.  ,,PLID58243680,3 December 2020,5,2020-12-03,always good value for money,,1,always good value for money ,[],always good value for money.   ,['always good value']
excellent value for a refreshing and tasty product,,PLID58243680,25 November 2020,4,2020-11-25,excellent value for refreshing and tasty product,,1,excellent value for refreshing and tasty product ,[],excellent value for a refreshing and tasty product ,['excellent value']
great coffee at a great price. keep the special going and we will keep ordering. have told my friends and family about it and they are also ordering.,,PLID58243680,24 November 2020,5,2020-11-24,great coffee at great price keep the special going and we will keep ordering have told my friends and family about it and they are also ordering,,1,great coffee at great price keep the special going and we will keep ordering have told my friends and family about it and they are also ordering ,[],great coffee at a great price. keep the special going and we will keep ordering. have told my friends and family about it and they are also ordering. ,"['great coffee', 'great price']"
coffee flavors really good and at a good price,,PLID58243680,21 November 2020,4,2020-11-21,coffee flavors really good and at good price,,1,coffee flavors really good and at good price ,[],coffee flavors really good and at a good price ,['good price']
the coffee tastes great and love that there are 2 strengths (2x medium roast and 2x dark roast) as i like medium roast coffee and my husband likes dark roast coffee. the pods do tend to get stuck in the nespresso sometimes. but i can handle that defect since the price is way cheaper to using the original pods.,,PLID58243680,18 November 2020,4,2020-11-18,the coffee tastes great and love that there are strengths medium roast and dark roast as like medium roast coffee and my husband likes dark roast coffee the pods do tend to get stuck in the nespresso sometimes but can handle that defect since the price is way cheaper to using the original pods,,1,the coffee tastes great and love that there are strengths medium roast and dark roast as like medium roast coffee and my husband likes dark roast coffee the pods do tend to get stuck in the nespresso sometimes but can handle that defect since the price is way cheaper to using the original pods ,[],the coffee tastes great and love that there are 2 strengths (2x medium roast and 2x dark roast) as i like medium roast coffee and my husband likes dark roast coffee. the pods do tend to get stuck in the nespresso sometimes. but i can handle that defect since the price is way cheaper to using the original pods. ,['dark roast coffee']
i love my morning coffee and having some variants to choose from just makes my day.,,PLID58243680,18 November 2020,5,2020-11-18,love my morning coffee and having some variants to choose from just makes my day,,1,love my morning coffee and having some variants to choose from just makes my day ,[],i love my morning coffee and having some variants to choose from just makes my day. ,[]
great value for money,,PLID58243680,17 November 2020,4,2020-11-17,great value for money,,1,great value for money ,[],great value for money ,['great value']
they delicious,,PLID58243680,13 November 2020,5,2020-11-13,they delicious,,1,they delicious ,[],they delicious ,[]
love my coffee ,,PLID58243680,11 November 2020,5,2020-11-11,love my coffee,,1,love my coffee ,[],love my coffee  ,[]
"medium roasts are really good (italian and ethiopian). dark roasts are not so great , nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though i generally prefer a dark roast",,PLID58243680,10 November 2020,3,2020-11-10,medium roasts are really good italian and ethiopian dark roasts are not so great nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though generally prefer dark roast,,1,medium roasts are really good italian and ethiopian dark roasts are not so great nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though generally prefer dark roast ,['taste'],"medium roasts are really good (italian and ethiopian). dark roasts are not so great , nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though i generally prefer a dark roast ",['dark roast']
"purchased a few times before, good taste and a great price. would recommend",,PLID58243680,3 November 2020,4,2020-11-03,purchased few times before good taste and great price would recommend,,1,purchased few times before good taste and great price would recommend ,[],"purchased a few times before, good taste and a great price. would recommend ","['great price', 'good taste']"
"great variety, great taste, great price!!",,PLID58243680,2 November 2020,5,2020-11-02,great variety great taste great price,,1,great variety great taste great price ,[],"great variety, great taste, great price!! ","['great taste', 'great variety', 'great price']"
spills water all over the place. does not go through the pod,,PLID58243680,30 October 2020,1,2020-10-30,spills water all over the place does not go through the pod,,-1,spills water all over the place does not go through the pod ,[],spills water all over the place. does not go through the pod ,[]
"excellent mix of coffee blends , very satisfying",,PLID58243680,28 October 2020,4,2020-10-28,excellent mix of coffee blends very satisfying,,1,excellent mix of coffee blends very satisfying ,[],"excellent mix of coffee blends , very satisfying ",['excellent mix']
